"","Site ID","Site Name","Longitude","Latitude","Region","Activation Date","Deactivation Date"
"182","48_113_0063","St. Germain","-96.8775","32.773889",4,"1-Jan-83","31-Dec-86"
"183","48_113_0064","Sargent Road","-96.779722","32.737778",4,"1-Jan-83","31-Dec-94"
"184","48_113_0065","Rector Street","-96.782222","32.7375",4,"1-Jan-83","31-Dec-94"
"185","48_113_0066","NOLEN","-96.782778","32.739722",4,"1-Jan-83","30-Sep-04"
"186","48_113_0067","Toronto Street","-96.875556","32.779722",4,"1-Jan-84","31-Dec-89"
"187","48_113_0068","La Reunion Parkway","-96.8775","32.769167",4,"1-Jan-85","31-Dec-87"
"188","48_113_0069","Dallas Hinton","-96.8601165","32.8200608",4,"1-Jan-86",""
"189","48_113_0070","New Micro","-96.929444","32.764722",4,"1-Jan-92","1-Nov-96"
"190","48_113_0071","GNB Battery","-96.916111","32.921667",4,"17-Jun-91","30-Dec-96"
"191","48_113_0072","North of Texas &amp; Houston Streets Intersection","-96.963333","32.588889",4,"17-Jul-91","30-Jun-99"
"192","48_113_0073","Palmer Paper Co.","-96.869722","32.809722",4,"3-Oct-91","31-Dec-93"
"193","48_113_0075","Dallas North #2","-96.8084975","32.9192056",4,"2-Nov-98",""
"194","48_113_0086","Coit Road","-96.761944","32.9861",4,"1-Jan-86","31-Dec-86"
"195","48_113_0087","Dallas Redbird Airport Executive","-96.8720596","32.6764506",4,"1-Jan-95",""
"196","48_113_1001","Austin Street","-96.638056","32.915556",4,"1-Jan-75","30-Jun-80"
"197","48_113_1002","School Administration Building","-96.638889","32.926667",4,"1-Jan-76","31-Dec-84"
"198","48_113_1003","Globe Union Battery SW","0","0",4,"1-Jan-82","31-Dec-83"
"199","48_113_1004","Globe Union Battery NW","-96.665556","32.983889",4,"1-Jan-82","1-Apr-83"
"200","48_113_1005","Globe Union Battery NE","0","0",4,"1-Jan-82","31-Dec-83"
"201","48_113_1006","Garland","-96.669167","32.910556",4,"17-Mar-94","24-Mar-03"
"202","48_113_1047","Long Creek","-96.552778","32.773611",4,"1-Jan-79","30-Sep-92"
"203","48_113_1067","Dallas LBJ Freeway","-96.75355","32.92118",4,"1-Apr-14",""
"204","48_113_1500","Lancaster Cedardale","-96.800599","32.630011",4,"1-Sep-13",""
"205","48_113_1505","Dallas Elm Fork","-96.913552","32.879107",4,"18-Nov-13",""
"206","48_113_2001","Graham Street","-96.966667","32.758056",4,"1-Jan-73","31-Dec-81"
"207","48_113_2002","West Main Street Fire Station","-97.008333","32.741667",4,"1-Jan-72","30-Jul-83"
"208","48_113_2003","West Main","-96.95","32.742222",4,"1-Jan-73","31-Dec-75"
"209","48_113_2004","Marshall","-96.983333","32.720556",4,"1-Jan-73","31-Dec-81"
"210","48_113_2005","NW 13TH","-97.02","32.743333",4,"1-Jan-73","31-Dec-81"
"211","48_113_3001","Haley Elementary School","-96.968333","32.856111",4,"1-Jan-75","24-Jul-83"
"212","48_113_3002","Austin Junior High School","-96.933611","32.823333",4,"1-Jan-79","27-Dec-84"
"213","48_113_3003","Sunnyvale Long Creek","-96.5462988","32.7693798",4,"14-Nov-00","1-Apr-06"
"214","48_113_3004","KEIST","-96.8033","32.7106",4,"3-Jul-02","9-Sep-05"
"215","48_121_0001","New City Hall","-97.133333","33.216667",4,"1-Jan-72","5-Aug-83"
"216","48_121_0002","Denton Municipal Airport","-97.193889","33.186111",4,"1-May-92","31-Dec-92"
"217","48_121_0033","Denton Municipal Airport on Airport Road","-97.195278","33.206111",4,"16-Jun-93","25-Nov-97"
"218","48_121_0034","Denton Airport South","-97.1962836","33.219069",4,"16-Feb-98",""
"219","48_121_0054","Denton Colony","-96.861389","33.071944",4,"26-Jan-81","15-Dec-99"
"220","48_121_1001","North Mill Street","-97.005833","33.064444",4,"1-Jan-75","31-Dec-81"
"221","48_121_1007","Flower Mound Shiloh","-97.1300022","33.0458619",4,"27-Oct-10",""
"222","48_121_1013","DISH Airfield","-97.29765","33.13093",4,"31-Mar-10",""
"223","48_121_1032","Pilot Point","-96.9445903","33.4106476",4,"4-Apr-06",""
"224","48_121_5008","Denton Airport KDTO","-97.198889","33.206111",4,"22-Jan-03",""
"225","48_123_1602","Cuero","-97.276575","29.134779",14,"15-Apr-14",""
"226","48_135_0001","USEPA-481350001","-102.345833","31.873333",7,"1-Jan-63","31-Dec-83"
"227","48_135_0002","University &amp; Park","-102.3525","31.872222",7,"19-Nov-75","10-Oct-91"
"228","48_135_0003","Odessa-Hays Elementary School","-102.3420368","31.8365747",7,"2-Feb-93",""
"229","48_135_0004","Odessa El Ranchito","-102.308333","31.826389",7,"16-Aug-00","6-Jun-02"
"230","48_135_1014","Odessa Gonzales","-102.3347563","31.8702534",7,"6-Jun-02",""
"231","48_139_0001","City Hall Roof","-96.994444","32.483889",4,"1-Jan-81","31-Dec-84"
"232","48_139_0002","North City Limits","-96.671389","32.435833",4,"1-Jan-85","31-Dec-86"
"233","48_139_0003","Optimist Ball Park","-96.847222","32.388333",4,"1-Jan-76","31-Dec-81"
"234","48_139_0004","Auger Road","-97.003056","32.498056",4,"18-Jan-91","30-Jan-93"
"235","48_139_0006","Gorman Road","-96.926667","32.543333",4,"10-Mar-92","30-Apr-93"
"236","48_139_0007","Tayman Drive Water Treatment Plant","-96.991389","32.531667",4,"22-Mar-92","1-Apr-97"
"237","48_139_0008","Mt. Creek Water Supply","-97.017778","32.429722",4,"22-Mar-92","11-Apr-93"
"238","48_139_0011","Hidden Valley Trail","-96.941389","32.481389",4,"31-Aug-92","20-Oct-93"
"239","48_139_0012","Chaparral Steel Company","-97.037222","32.462222",4,"16-Jan-93","8-Jan-99"
"240","48_139_0013","Auger Road Water Treatment Plant","-97.016111","32.501389",4,"18-Jan-91","15-Oct-94"
"241","48_139_0014","Box Crow Cement Company","-96.955278","32.546111",4,"6-Nov-93","16-Jan-95"
"242","48_139_0015","Midlothian Tower","-97.024444","32.436667",4,"24-Oct-94","22-Aug-07"
"243","48_139_0016","Midlothian OFW","-97.0268987","32.4820829",4,"7-Nov-94",""
"244","48_139_0017","Midlothian Wyatt Rd","-97.0425","32.473611",4,"20-Nov-99","7-Apr-06"
"245","48_139_0082","Ennis Airport","-96.663611","32.326111",4,"1-Mar-91","31-Dec-91"
"246","48_139_0084","Cedar Drive","-97.005556","32.461389",4,"1-Jan-85","21-Oct-94"
"247","48_139_0650","ITALY HIGH SCHOOL","-96.878056","32.178333",4,"1-Aug-05","7-Nov-06"
"248","48_139_1002","Water &amp; Elm","-96.847222","32.3875",4,"1-Jan-73","31-Dec-81"
"249","48_139_1044","Italy","-96.8701892","32.1754166",4,"21-Aug-07",""
"250","48_141_0001","USEPA-481410001","-106.483333","31.760833",6,"1-Jan-57","31-Dec-95"
"251","48_141_0002","Tillman","-106.4829215","31.7576535",6,"1-Jan-69","21-May-13"
"252","48_141_0003","Shorty Lane Fire Station","-106.579167","31.8375",6,"1-Jan-78","31-Dec-87"
"253","48_141_0004","Clint High School","-106.228611","31.588611",6,"1-Jan-74","31-Dec-81"
"254","48_141_0005","City Gas Pumps","-106.5975","31.997222",6,"1-Jan-74","31-Dec-81"
"255","48_141_0006","Darrington","-106.2075","31.688333",6,"1-Jan-74","31-Dec-81"
"256","48_141_0007","Coranado Fire Station","-106.533333","31.832222",6,"1-Jan-71","29-Dec-86"
"257","48_141_0008","Koger Building","-106.513889","31.794444",6,"1-Jan-71","31-Dec-75"
"258","48_141_0010","Northeast Clinic","-106.4125","31.899722",6,"1-Jan-71","19-Aug-02"
"259","48_141_0011","Convair Road","-106.4","31.798611",6,"1-Jan-71","30-Oct-93"
"260","48_141_0012","McCrae","-106.354167","31.791667",6,"1-Jan-71","31-Dec-74"
"261","48_141_0013","El Paso Natural Gas","-106.236111","31.808333",6,"1-Jan-72","31-Dec-75"
"262","48_141_0015","San Jose Road","-106.361111","31.738889",6,"1-Jan-72","27-Jun-88"
"263","48_141_0016","Trowbridge at Marlow","-106.407778","31.773333",6,"1-Jan-81","31-Dec-88"
"264","48_141_0017","Delta Fire Station","-106.411111","31.759722",6,"1-Jan-71","31-Dec-74"
"265","48_141_0018","Shelter Place","-106.438889","31.766667",6,"1-Jan-71","30-Jun-88"
"266","48_141_0019","Pershing","-106.454167","31.7875",6,"1-Jan-71","31-Dec-88"
"267","48_141_0020","Hercules Fire Station","-106.446111","31.855556",6,"1-Jan-71","31-Dec-74"
"268","48_141_0021","Thomas Manor Elementary School","-106.370833","31.726944",6,"1-Jan-72","31-Dec-81"
"269","48_141_0022","International Boundary","-106.525","31.783333",6,"1-Jun-72","31-Dec-81"
"270","48_141_0023","Kern Fire Station","-106.503611","31.743889",6,"1-Jan-71","31-Dec-81"
"271","48_141_0024","San Diego","-106.470833","31.7875",6,"1-Jan-72","31-Dec-86"
"272","48_141_0025","Zack White School","-106.591667","31.844167",6,"1-Jan-73","27-Jun-88"
"273","48_141_0027","EL PASO DOWNTOWN","-106.486667","31.763056",6,"1-Jan-73","16-Jan-04"
"274","48_141_0028","EL PASO EAST C30","-106.411111","31.751667",6,"1-Jan-74","1-Sep-99"
"275","48_141_0029","Ivanhoe","-106.3235781","31.7857687",6,"1-Jan-79",""
"276","48_141_0030","Socorro Road","-106.315278","31.678611",6,"1-Jan-79","30-Jun-88"
"277","48_141_0031","Paisano-Irrigation Gate Lock","-106.523056","31.783333",6,"1-Jan-79","27-Jun-88"
"278","48_141_0033","Kern","-106.5017115","31.7772059",6,"1-Jan-79","22-May-12"
"279","48_141_0036","Mulberry Avenue","-106.5925","31.853056",6,"1-Jan-81","30-Jun-88"
"280","48_141_0037","El Paso UTEP","-106.5012595","31.7682914",6,"1-Jan-81",""
"281","48_141_0038","Riverside","-106.3721","31.7338",6,"1-Jan-81",""
"282","48_141_0039","Teresita Church","-106.547222","31.807778",6,"1-Jan-83","31-Dec-88"
"283","48_141_0040","Althea Park","-106.501111","31.785",6,"1-Jan-83","27-Jun-88"
"284","48_141_0041","VILAS","-106.5004","31.7605",6,"1-Jan-83","31-Dec-03"
"285","48_141_0042","Krupp Drive","-106.5075","31.794722",6,"1-Jan-83","27-Jun-88"
"286","48_141_0043","Buford","-106.291111","31.652222",6,"6-Jan-91","31-Dec-99"
"287","48_141_0044","El Paso Chamizal","-106.4552272","31.7656854",6,"1-Apr-88",""
"288","48_141_0045","LINDBERGH","-106.588333","31.846667",6,"31-Aug-88","30-Jun-03"
